label,raw_file,processed_file
J,J_20260805_161417_484652.npy,/content/dataset/processed_dynamic/J/J_20260805_161417_484652_processed.npz
J,J_20260805_161423_334281.npy,/content/dataset/processed_dynamic/J/J_20260805_161423_334281_processed.npz
J,J_20260805_161425_145769.npy,/content/dataset/processed_dynamic/J/J_20260805_161425_145769_processed.npz
J,J_20260805_161429_192903.npy,/content/dataset/processed_dynamic/J/J_20260805_161429_192903_processed.npz
J,J_20260805_161431_833111.npy,/content/dataset/processed_dynamic/J/J_20260805_161431_833111_processed.npz
J,J_20260805_161433_658052.npy,/content/dataset/processed_dynamic/J/J_20260805_161433_658052_processed.npz
J,J_20260805_161436_789828.npy,/content/dataset/processed_dynamic/J/J_20260805_161436_789828_processed.npz
J,J_20260805_161442_250528.npy,/content/dataset/processed_dynamic/J/J_20260805_161442_250528_processed.npz
J,J_20260805_161447_260174.npy,/content/dataset/processed_dynamic/J/J_20260805_161447_260174_processed.npz
J,J_20260805_161449_026005.npy,/content/dataset/processed_dynamic/J/J_20260805_161449_026005_processed.npz
J,J_20260805_162430_854281.npy,/content/dataset/processed_dynamic/J/J_20260805_162430_854281_processed.npz
J,J_20260805_162436_913982.npy,/content/dataset/processed_dynamic/J/J_20260805_162436_913982_processed.npz
J,J_20260805_162440_400083.npy,/content/dataset/processed_dynamic/J/J_20260805_162440_400083_processed.npz
J,J_20260805_162443_696238.npy,/content/dataset/processed_dynamic/J/J_20260805_162443_696238_processed.npz
J,J_20260805_162447_111230.npy,/content/dataset/processed_dynamic/J/J_20260805_162447_111230_processed.npz
J,J_20260805_162558_415405.npy,/content/dataset/processed_dynamic/J/J_20260805_162558_415405_processed.npz
J,J_20260805_162601_791391.npy,/content/dataset/processed_dynamic/J/J_20260805_162601_791391_processed.npz
J,J_20260805_162605_045079.npy,/content/dataset/processed_dynamic/J/J_20260805_162605_045079_processed.npz
J,J_20260805_162610_065258.npy,/content/dataset/processed_dynamic/J/J_20260805_162610_065258_processed.npz
J,J_20260805_162615_843307.npy,/content/dataset/processed_dynamic/J/J_20260805_162615_843307_processed.npz
J,J_20260805_162623_161812.npy,/content/dataset/processed_dynamic/J/J_20260805_162623_161812_processed.npz
J,J_20260805_162629_314240.npy,/content/dataset/processed_dynamic/J/J_20260805_162629_314240_processed.npz
J,J_20260805_162638_656192.npy,/content/dataset/processed_dynamic/J/J_20260805_162638_656192_processed.npz
J,J_20260805_162644_688632.npy,/content/dataset/processed_dynamic/J/J_20260805_162644_688632_processed.npz
J,J_20260805_162649_588121.npy,/content/dataset/processed_dynamic/J/J_20260805_162649_588121_processed.npz
Z,Z_20260805_162854_656946.npy,/content/dataset/processed_dynamic/Z/Z_20260805_162854_656946_processed.npz
Z,Z_20260805_163446_622863.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163446_622863_processed.npz
Z,Z_20260805_163458_575194.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163458_575194_processed.npz
Z,Z_20260805_163507_728429.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163507_728429_processed.npz
Z,Z_20260805_163600_128241.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163600_128241_processed.npz
Z,Z_20260805_163605_786383.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163605_786383_processed.npz
Z,Z_20260805_163614_061970.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163614_061970_processed.npz
Z,Z_20260805_163619_619953.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163619_619953_processed.npz
Z,Z_20260805_163624_785030.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163624_785030_processed.npz
Z,Z_20260805_163632_668953.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163632_668953_processed.npz
Z,Z_20260805_163637_437349.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163637_437349_processed.npz
Z,Z_20260805_163642_163932.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163642_163932_processed.npz
Z,Z_20260805_163647_116244.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163647_116244_processed.npz
Z,Z_20260805_163651_894341.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163651_894341_processed.npz
Z,Z_20260805_163656_668327.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163656_668327_processed.npz
Z,Z_20260805_163701_216828.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163701_216828_processed.npz
Z,Z_20260805_163706_275749.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163706_275749_processed.npz
Z,Z_20260805_163710_834965.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163710_834965_processed.npz
Z,Z_20260805_163715_341311.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163715_341311_processed.npz
Z,Z_20260805_163719_886320.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163719_886320_processed.npz
Z,Z_20260805_163724_201944.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163724_201944_processed.npz
Z,Z_20260805_163728_953480.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163728_953480_processed.npz
Z,Z_20260805_163733_681659.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163733_681659_processed.npz
Z,Z_20260805_163739_107588.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163739_107588_processed.npz
Z,Z_20260805_163744_208238.npy,/content/dataset/processed_dynamic/Z/Z_20260805_163744_208238_processed.npz
hello,0022932153577568393-HELLO.npy,/content/dataset/processed_dynamic/hello/0022932153577568393-HELLO_processed.npz
hello,020030442376253177-HELLO.npy,/content/dataset/processed_dynamic/hello/020030442376253177-HELLO_processed.npz
hello,05614933522741539-HELLO.npy,/content/dataset/processed_dynamic/hello/05614933522741539-HELLO_processed.npz
hello,0755679379568106-HELLO.npy,/content/dataset/processed_dynamic/hello/0755679379568106-HELLO_processed.npz
hello,081380748015633-HELLO.npy,/content/dataset/processed_dynamic/hello/081380748015633-HELLO_processed.npz
hello,11225598264242453-HELLO.npy,/content/dataset/processed_dynamic/hello/11225598264242453-HELLO_processed.npz
hello,1340650432799635-HELLO.npy,/content/dataset/processed_dynamic/hello/1340650432799635-HELLO_processed.npz
hello,16493550450776628-HELLO.npy,/content/dataset/processed_dynamic/hello/16493550450776628-HELLO_processed.npz
hello,16501735528077632-HELLO.npy,/content/dataset/processed_dynamic/hello/16501735528077632-HELLO_processed.npz
hello,1789715889624135-HELLO.npy,/content/dataset/processed_dynamic/hello/1789715889624135-HELLO_processed.npz
hello,20675411351630046-HELLO.npy,/content/dataset/processed_dynamic/hello/20675411351630046-HELLO_processed.npz
hello,25802117645943423-HELLO.npy,/content/dataset/processed_dynamic/hello/25802117645943423-HELLO_processed.npz
hello,3283413810240037-HELLO.npy,/content/dataset/processed_dynamic/hello/3283413810240037-HELLO_processed.npz
hello,5018242902938022-HELLO.npy,/content/dataset/processed_dynamic/hello/5018242902938022-HELLO_processed.npz
hello,5254351100197965-HELLO.npy,/content/dataset/processed_dynamic/hello/5254351100197965-HELLO_processed.npz
hello,5339916560192981-HELLO.npy,/content/dataset/processed_dynamic/hello/5339916560192981-HELLO_processed.npz
hello,5911924789322505-HELLO.npy,/content/dataset/processed_dynamic/hello/5911924789322505-HELLO_processed.npz
hello,6448349493816601-HELLO.npy,/content/dataset/processed_dynamic/hello/6448349493816601-HELLO_processed.npz
hello,7027473793210652-HELLO.npy,/content/dataset/processed_dynamic/hello/7027473793210652-HELLO_processed.npz
hello,7076961883712545-HELLO.npy,/content/dataset/processed_dynamic/hello/7076961883712545-HELLO_processed.npz
no,01379619951634381-NO.npy,/content/dataset/processed_dynamic/no/01379619951634381-NO_processed.npz
no,08228267952066615-NO.npy,/content/dataset/processed_dynamic/no/08228267952066615-NO_processed.npz
no,09714329486323847-NO.npy,/content/dataset/processed_dynamic/no/09714329486323847-NO_processed.npz
no,2140134632834978-NO.npy,/content/dataset/processed_dynamic/no/2140134632834978-NO_processed.npz
no,2732741727030885-NO.npy,/content/dataset/processed_dynamic/no/2732741727030885-NO_processed.npz
no,3247833356457248-NO.npy,/content/dataset/processed_dynamic/no/3247833356457248-NO_processed.npz
no,370678413428154-NO.npy,/content/dataset/processed_dynamic/no/370678413428154-NO_processed.npz
no,3919396171653571-NO.npy,/content/dataset/processed_dynamic/no/3919396171653571-NO_processed.npz
no,46074251080029494-NO.npy,/content/dataset/processed_dynamic/no/46074251080029494-NO_processed.npz
no,4656606080155459-NO.npy,/content/dataset/processed_dynamic/no/4656606080155459-NO_processed.npz
no,5082858473744953-NO.npy,/content/dataset/processed_dynamic/no/5082858473744953-NO_processed.npz
no,5278795760893484-NO.npy,/content/dataset/processed_dynamic/no/5278795760893484-NO_processed.npz
no,5309657970849855-NO.npy,/content/dataset/processed_dynamic/no/5309657970849855-NO_processed.npz
no,5328649685588343-NO.npy,/content/dataset/processed_dynamic/no/5328649685588343-NO_processed.npz
no,5372668319999747-NO.npy,/content/dataset/processed_dynamic/no/5372668319999747-NO_processed.npz
no,6137110171725737-NO.npy,/content/dataset/processed_dynamic/no/6137110171725737-NO_processed.npz
no,6645554412949413-NO.npy,/content/dataset/processed_dynamic/no/6645554412949413-NO_processed.npz
no,6901051427765104-NO.npy,/content/dataset/processed_dynamic/no/6901051427765104-NO_processed.npz
no,7525332129995586-NO.npy,/content/dataset/processed_dynamic/no/7525332129995586-NO_processed.npz
no,7931075492698656-NO.npy,/content/dataset/processed_dynamic/no/7931075492698656-NO_processed.npz
please,04515307711600891-PLEASE.npy,/content/dataset/processed_dynamic/please/04515307711600891-PLEASE_processed.npz
please,05859480723249688-PLEASE.npy,/content/dataset/processed_dynamic/please/05859480723249688-PLEASE_processed.npz
please,11854818371036102-PLEASE.npy,/content/dataset/processed_dynamic/please/11854818371036102-PLEASE_processed.npz
please,18053723532999788-PLEASE.npy,/content/dataset/processed_dynamic/please/18053723532999788-PLEASE_processed.npz
please,31545854783740124-PLEASE.npy,/content/dataset/processed_dynamic/please/31545854783740124-PLEASE_processed.npz
please,3584447878251358-PLEASE.npy,/content/dataset/processed_dynamic/please/3584447878251358-PLEASE_processed.npz
please,4096147054343935-PLEASE.npy,/content/dataset/processed_dynamic/please/4096147054343935-PLEASE_processed.npz
please,42961246858695024-PLEASE.npy,/content/dataset/processed_dynamic/please/42961246858695024-PLEASE_processed.npz
please,43778843855311433-PLEASE.npy,/content/dataset/processed_dynamic/please/43778843855311433-PLEASE_processed.npz
please,44272136216354463-PLEASE.npy,/content/dataset/processed_dynamic/please/44272136216354463-PLEASE_processed.npz
please,4782730717831809-PLEASE.npy,/content/dataset/processed_dynamic/please/4782730717831809-PLEASE_processed.npz
please,49277089703101806-PLEASE.npy,/content/dataset/processed_dynamic/please/49277089703101806-PLEASE_processed.npz
please,5042323343464843-PLEASE.npy,/content/dataset/processed_dynamic/please/5042323343464843-PLEASE_processed.npz
please,5305284657006966-PLEASE.npy,/content/dataset/processed_dynamic/please/5305284657006966-PLEASE_processed.npz
please,583219774394824-PLEASE.npy,/content/dataset/processed_dynamic/please/583219774394824-PLEASE_processed.npz
please,5956139983741693-PLEASE.npy,/content/dataset/processed_dynamic/please/5956139983741693-PLEASE_processed.npz
please,6330094542104612-PLEASE.npy,/content/dataset/processed_dynamic/please/6330094542104612-PLEASE_processed.npz
please,6400788027798874-PLEASE.npy,/content/dataset/processed_dynamic/please/6400788027798874-PLEASE_processed.npz
please,6936039479099299-PLEASE.npy,/content/dataset/processed_dynamic/please/6936039479099299-PLEASE_processed.npz
please,please.npy,/content/dataset/processed_dynamic/please/please_processed.npz
thank_you,0006320057552187119-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/0006320057552187119-THANK YOU_processed.npz
thank_you,014439537236845323-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/014439537236845323-THANK YOU_processed.npz
thank_you,021145910536055412-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/021145910536055412-THANK YOU_processed.npz
thank_you,031705941185190545-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/031705941185190545-THANK YOU_processed.npz
thank_you,034197610787212396-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/034197610787212396-THANK YOU_processed.npz
thank_you,06476990357042611-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/06476990357042611-THANK YOU_processed.npz
thank_you,08583141071601874-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/08583141071601874-THANK YOU_processed.npz
thank_you,0912245735671211-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/0912245735671211-THANK YOU_processed.npz
thank_you,09460259361998125-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/09460259361998125-THANK YOU_processed.npz
thank_you,15769775934939156-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/15769775934939156-THANK YOU_processed.npz
thank_you,16270426237316316-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/16270426237316316-THANK YOU_processed.npz
thank_you,16870669316247833-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/16870669316247833-THANK YOU_processed.npz
thank_you,25130175957831113-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/25130175957831113-THANK YOU_processed.npz
thank_you,274897834577152-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/274897834577152-THANK YOU_processed.npz
thank_you,35156313213734314-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/35156313213734314-THANK YOU_processed.npz
thank_you,39425766670939555-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/39425766670939555-THANK YOU_processed.npz
thank_you,4624064779710624-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/4624064779710624-THANK YOU_processed.npz
thank_you,5932207271660643-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/5932207271660643-THANK YOU_processed.npz
thank_you,6508465822424006-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/6508465822424006-THANK YOU_processed.npz
thank_you,6528064521146906-THANK YOU.npy,/content/dataset/processed_dynamic/thank_you/6528064521146906-THANK YOU_processed.npz
yes,029563612799205163-YES.npy,/content/dataset/processed_dynamic/yes/029563612799205163-YES_processed.npz
yes,050364485120873326-YES.npy,/content/dataset/processed_dynamic/yes/050364485120873326-YES_processed.npz
yes,05574938180658928-YES.npy,/content/dataset/processed_dynamic/yes/05574938180658928-YES_processed.npz
yes,09905526235759088-YES.npy,/content/dataset/processed_dynamic/yes/09905526235759088-YES_processed.npz
yes,15498675309554577-YES.npy,/content/dataset/processed_dynamic/yes/15498675309554577-YES_processed.npz
yes,1555998439795525-YES.npy,/content/dataset/processed_dynamic/yes/1555998439795525-YES_processed.npz
yes,15689453699180178-YES.npy,/content/dataset/processed_dynamic/yes/15689453699180178-YES_processed.npz
yes,16728596536749274-YES.npy,/content/dataset/processed_dynamic/yes/16728596536749274-YES_processed.npz
yes,26056519285644875-YES.npy,/content/dataset/processed_dynamic/yes/26056519285644875-YES_processed.npz
yes,32941176670637984-YES.npy,/content/dataset/processed_dynamic/yes/32941176670637984-YES_processed.npz
yes,38970444942928073-YES.npy,/content/dataset/processed_dynamic/yes/38970444942928073-YES_processed.npz
yes,41279108584600577-YES.npy,/content/dataset/processed_dynamic/yes/41279108584600577-YES_processed.npz
yes,42327270691916885-YES.npy,/content/dataset/processed_dynamic/yes/42327270691916885-YES_processed.npz
yes,44146024789241256-YES.npy,/content/dataset/processed_dynamic/yes/44146024789241256-YES_processed.npz
yes,5327840336837257-YES.npy,/content/dataset/processed_dynamic/yes/5327840336837257-YES_processed.npz
yes,541403296602635-YES.npy,/content/dataset/processed_dynamic/yes/541403296602635-YES_processed.npz
yes,709429051156695-YES.npy,/content/dataset/processed_dynamic/yes/709429051156695-YES_processed.npz
yes,7199140986089654-YES.npy,/content/dataset/processed_dynamic/yes/7199140986089654-YES_processed.npz
yes,7199652013477922-YES.npy,/content/dataset/processed_dynamic/yes/7199652013477922-YES_processed.npz
yes,7442618628569746-YES.npy,/content/dataset/processed_dynamic/yes/7442618628569746-YES_processed.npz
